strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes
B16,2008-06-14T00:00:00Z,Makeen,Pakistan,South Waziristan,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
B17,2008-07-28T00:00:00Z,Zeralita,Pakistan,South Waziristan,7,12,1,5,0,2,3,3,NA,NA,NA,NA,NA,NA
B18,2008-08-12T00:00:00Z,Bhaggar,Pakistan,South Waziristan,12,25,0,5,0,0,0,4,NA,NA,NA,NA,NA,NA
B19,2008-08-20T00:00:00Z,Zari Noor,Pakistan,South Waziristan,6,12,0,0,0,0,5,5,NA,NA,NA,NA,NA,NA
B20,2008-08-27T00:00:00Z,Ganki Khel,Pakistan,South Waziristan,0,0,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
B21,2008-08-30T00:00:00Z,Korzai,Pakistan,South Waziristan,4,5,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
B22,2008-08-30T00:00:00Z,Miram Shah,Pakistan,North Waziristan,6,11,2,9,1,4,2,8,NA,NA,NA,NA,NA,NA
B23,2008-09-02T00:00:00Z,Unknown,Pakistan,North Waziristan,0,10,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
B24,2008-09-04T00:00:00Z,Mohammad Khel,Pakistan,North Waziristan,5,7,0,0,0,0,3,4,NA,NA,NA,NA,NA,NA
B25,2008-09-05T00:00:00Z,Gurwak,Pakistan,North Waziristan,5,12,5,7,3,4,0,0,NA,NA,NA,NA,NA,NA
B26,2008-09-08T00:00:00Z,Miram Shah,Pakistan,North Waziristan,17,23,11,20,5,8,14,25,NA,NA,NA,NA,NA,NA
B27,2008-09-12T00:00:00Z,Tol Khel,Pakistan,North Waziristan,12,15,3,5,2,2,14,14,NA,NA,NA,NA,NA,NA
B28,2008-09-17T00:00:00Z,Baghar Cheena,Pakistan,South Waziristan,4,7,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA
B29,2008-09-30T00:00:00Z,Khushali,Pakistan,South Waziristan,4,8,0,0,0,0,5,9,NA,NA,NA,NA,NA,NA
B30,2008-10-03T00:00:00Z,Datta Khel,Pakistan,North Waziristan,3,3,3,3,1,1,5,5,NA,NA,NA,NA,NA,NA
B31,2008-10-03T00:00:00Z,Datta Khel,Pakistan,North Waziristan,17,21,7,14,3,3,0,0,NA,NA,NA,NA,NA,NA
B32,2008-10-09T00:00:00Z,Tati,Pakistan,North Waziristan,5,9,1,9,1,4,2,2,NA,NA,NA,NA,NA,NA
B33,2008-10-11T00:00:00Z,Miram Shah,Pakistan,North Waziristan,4,5,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
B34,2008-10-16T00:00:00Z,Taparghai,Pakistan,South Waziristan,2,9,0,4,0,0,1,7,NA,NA,NA,NA,NA,NA
B35,2008-10-23T00:00:00Z,Danda Darpakhel,Pakistan,North Waziristan,8,11,7,10,7,7,6,11,NA,NA,NA,NA,NA,NA
B36,2008-10-26T00:00:00Z,Mandata,Pakistan,South Waziristan,18,20,0,4,0,3,2,2,NA,NA,NA,NA,NA,NA
B37,2008-10-31T00:00:00Z,Asori,Pakistan,North Waziristan,4,25,1,20,0,0,0,0,NA,NA,NA,NA,NA,NA
B38,2008-10-31T00:00:00Z,Kari Kot,Pakistan,South Waziristan,4,12,1,1,0,0,2,30,NA,NA,NA,NA,NA,NA
B39,2008-11-07T00:00:00Z,Kumsham,Pakistan,North Waziristan,11,16,6,11,0,0,17,17,NA,NA,NA,NA,NA,NA
B40,2008-11-14T00:00:00Z,Garyom,Pakistan,North Waziristan,11,13,3,12,0,0,2,2,NA,NA,NA,NA,NA,NA
B41,2008-11-19T00:00:00Z,Jani Khel,Pakistan,Bannu Frontier Region,3,6,0,3,0,0,7,7,NA,NA,NA,NA,NA,NA
B42,2008-11-22T00:00:00Z,Ali Khel,Pakistan,North Waziristan,4,6,0,1,0,0,6,6,NA,NA,NA,NA,NA,NA
B43,2008-11-27T00:00:00Z,Wana,Pakistan,South Waziristan,5,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
B44,2008-11-29T00:00:00Z,Chashma,Pakistan,North Waziristan,2,3,0,3,0,0,2,3,NA,NA,NA,NA,NA,NA
B45,2008-12-05T00:00:00Z,Kateera,Pakistan,North Waziristan,3,4,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
B46,2008-12-11T00:00:00Z,Azam Warsak,Pakistan,South Waziristan,6,7,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA
B47,2008-12-15T00:00:00Z,Tapi Tool,Pakistan,North Waziristan,2,3,0,3,0,0,3,3,NA,NA,NA,NA,NA,NA
B48,2008-12-22T00:00:00Z,Kari Kot,Pakistan,South Waziristan,3,3,0,0,0,0,5,5,NA,NA,NA,NA,NA,NA
B49,2008-12-22T00:00:00Z,Shin Warsak,Pakistan,South Waziristan,2,4,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
B50,2009-01-01T00:00:00Z,Kari Kot,Pakistan,South Waziristan,3,5,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA
B51,2009-01-02T00:00:00Z,Madin Village,Pakistan,South Waziristan,3,4,0,0,0,0,3,5,NA,NA,NA,NA,NA,NA
Ob1,2009-01-23T00:00:00Z,Zharki,Pakistan,North Waziristan,7,15,9,11,1,1,1,1,NA,NA,NA,NA,NA,NA
Ob2,2009-01-23T00:00:00Z,Ganki Khel,Pakistan,South Waziristan,5,10,5,10,3,4,2,2,NA,NA,NA,NA,NA,NA
Ob3,2009-02-14T00:00:00Z,Narsi Khel,Pakistan,South Waziristan,25,35,1,9,1,1,11,15,NA,NA,NA,NA,NA,NA
Ob4,2009-02-16T00:00:00Z,Sur Pul,Pakistan,Kurram Agency,18,31,0,0,0,0,3,7,NA,NA,NA,NA,NA,NA
Ob5,2009-03-01T00:00:00Z,Sararogha,Pakistan,South Waziristan,3,12,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA
Ob6,2009-03-12T00:00:00Z,Barjo,Pakistan,Kurram Agency,14,26,0,0,0,0,9,50,NA,NA,NA,NA,NA,NA
Ob7,2009-03-15T00:00:00Z,Jani Khel,Pakistan,Bannu Frontier Region,2,6,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob8,2009-03-25T00:00:00Z,Makeen,Pakistan,South Waziristan,6,8,0,0,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob9,2009-03-26T00:00:00Z,Sokhel,Pakistan,North Waziristan,4,5,0,5,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob10,2009-04-01T00:00:00Z,Khadezai,Pakistan,Orakzai Agency,10,14,5,5,3,3,4,16,NA,NA,NA,NA,NA,NA
Ob11,2009-04-04T00:00:00Z,Datta Khel,Pakistan,North Waziristan,13,15,8,13,3,5,1,1,NA,NA,NA,NA,NA,NA
Ob12,2009-04-08T00:00:00Z,Ganki Khel,Pakistan,South Waziristan,3,4,0,0,0,0,2,5,NA,NA,NA,NA,NA,NA
Ob13,2009-04-19T00:00:00Z,Ganki Khel,Pakistan,South Waziristan,0,8,0,8,0,0,3,5,NA,NA,NA,NA,NA,NA
Ob14,2009-04-29T00:00:00Z,Kaniguram,Pakistan,South Waziristan,1,10,0,4,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob15,2009-05-09T00:00:00Z,Tabbi Langhar Khel,Pakistan,South Waziristan,6,25,0,4,0,0,7,10,NA,NA,NA,NA,NA,NA
Ob16,2009-05-12T00:00:00Z,Sara Khwara,Pakistan,South Waziristan,5,9,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob17,2009-05-16T00:00:00Z,Khesoor,Pakistan,North Waziristan,25,40,9,9,0,0,2,2,NA,NA,NA,NA,NA,NA
Ob18,2009-06-14T00:00:00Z,Marda Algad,Pakistan,South Waziristan,3,5,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob19,2009-06-18T00:00:00Z,Wana,Pakistan,South Waziristan,12,18,4,4,0,0,10,10,NA,NA,NA,NA,NA,NA
Ob20,2009-06-23T00:00:00Z,Makeen,Pakistan,South Waziristan,5,6,0,0,0,0,7,7,NA,NA,NA,NA,NA,NA
Ob21,2009-06-23T00:00:00Z,Makeen,Pakistan,South Waziristan,60,83,18,50,10,10,27,27,NA,NA,NA,NA,NA,NA
Ob22,2009-07-03T00:00:00Z,Mantoi,Pakistan,South Waziristan,0,5,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob23,2009-07-03T00:00:00Z,Zamarai Nairai,Pakistan,South Waziristan,10,17,0,0,0,0,27,35,NA,NA,NA,NA,NA,NA
Ob24,2009-07-07T00:00:00Z,Makeen,Pakistan,South Waziristan,14,18,0,0,0,0,10,10,NA,NA,NA,NA,NA,NA
Ob25,2009-07-08T00:00:00Z,Ladha,Pakistan,South Waziristan,8,10,0,0,0,0,5,12,NA,NA,NA,NA,NA,NA
Ob26,2009-07-08T00:00:00Z,Ladha,Pakistan,South Waziristan,35,40,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
Ob27,2009-07-10T00:00:00Z,Painda Khel,Pakistan,South Waziristan,3,5,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob28,2009-07-17T00:00:00Z,Gariwam,Pakistan,North Waziristan,5,6,0,0,0,0,4,6,NA,NA,NA,NA,NA,NA
Ob29,2009-08-05T00:00:00Z,Ladha,Pakistan,South Waziristan,1,12,1,4,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob30,2009-08-11T00:00:00Z,Ladha,Pakistan,South Waziristan,12,25,0,6,4,4,5,7,NA,NA,NA,NA,NA,NA
Ob31,2009-08-21T00:00:00Z,Danda Darpakhel,Pakistan,North Waziristan,17,21,9,13,6,6,2,2,NA,NA,NA,NA,NA,NA
Ob32,2009-08-27T00:00:00Z,Taparghai,Pakistan,South Waziristan,8,10,0,0,0,0,6,9,NA,NA,NA,NA,NA,NA
Ob33,2009-09-07T00:00:00Z,Machi Khel,Pakistan,North Waziristan,5,8,3,3,0,0,2,7,NA,NA,NA,NA,NA,NA
Ob34,2009-09-08T00:00:00Z,Darga Mandi,Pakistan,North Waziristan,10,15,5,5,3,3,4,5,NA,NA,NA,NA,NA,NA
Ob35,2009-09-14T00:00:00Z,Toorikhel,Pakistan,North Waziristan,5,5,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA
SOM008,2009-09-14T00:00:00Z,Barawe,Somalia,NA,2,6,0,0,0,0,2,2,Confirmed,TRUE,FALSE,"Air operation - helicopter
Ground assault - body retrieval",1,1
Ob36,2009-09-24T00:00:00Z,Mir Ali,Pakistan,North Waziristan,10,12,0,12,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob37,2009-09-29T00:00:00Z,Sararogha,Pakistan,South Waziristan,5,6,0,0,0,0,2,6,NA,NA,NA,NA,NA,NA
Ob38,2009-09-29T00:00:00Z,Danda Darpakhel,Pakistan,North Waziristan,4,9,0,4,0,0,2,6,NA,NA,NA,NA,NA,NA
Ob39,2009-09-30T00:00:00Z,Norak,Pakistan,North Waziristan,6,9,0,0,0,0,2,5,NA,NA,NA,NA,NA,NA
Ob40,2009-10-15T00:00:00Z,Danda Darpakhel,Pakistan,North Waziristan,3,4,0,0,0,0,7,7,NA,NA,NA,NA,NA,NA
Ob41,2009-10-21T00:00:00Z,Spalaga,Pakistan,North Waziristan,3,3,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA
Ob42,2009-10-24T00:00:00Z,Damadola,Pakistan,Bajaur Agency,20,30,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA
Ob43,2009-11-05T00:00:00Z,Norak,Pakistan,North Waziristan,4,6,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA
Ob44,2009-11-18T00:00:00Z,Shanakorah,Pakistan,North Waziristan,3,6,0,0,0,0,2,15,NA,NA,NA,NA,NA,NA
Ob45,2009-11-20T00:00:00Z,Machi Khel,Pakistan,North Waziristan,3,14,3,3,1,1,2,12,NA,NA,NA,NA,NA,NA
Ob46,2009-12-08T00:00:00Z,Spalaga,Pakistan,North Waziristan,3,4,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob47,2009-12-10T00:00:00Z,Ladha,Pakistan,South Waziristan,6,6,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA
Ob48,2009-12-17T00:00:00Z,Datta Khel,Pakistan,North Waziristan,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob49,2009-12-17T00:00:00Z,Ambar Shaga,Pakistan,North Waziristan,12,16,6,6,0,0,0,0,NA,NA,NA,NA,NA,NA
YEM002,2009-12-17T00:00:00Z,Al Majala,Yemen,Abyan,55,58,44,44,21,22,9,9,Confirmed,FALSE,FALSE,Cruise missile strike,1,1
YEM003,2009-12-17T00:00:00Z,Arhab,Yemen,Sanaa,0,0,0,0,0,0,0,0,Confirmed,FALSE,FALSE,"US-Yemen ground operation
Possible drone strike",1,1
Ob50,2009-12-18T00:00:00Z,Babrak Ziarat,Pakistan,North Waziristan,5,8,5,5,0,0,4,5,NA,NA,NA,NA,NA,NA
YEM004,2009-12-24T00:00:00Z,Rafd,Yemen,Shabwa,30,34,0,0,0,0,0,0,Confirmed,TRUE,FALSE,"Airstrike
Possible cruise missile strike",1,1
Ob51,2009-12-26T00:00:00Z,Saidgai,Pakistan,North Waziristan,13,20,6,6,0,0,12,12,NA,NA,NA,NA,NA,NA
Ob52,2009-12-31T00:00:00Z,Machi Khel,Pakistan,North Waziristan,3,7,3,3,1,1,2,2,NA,NA,NA,NA,NA,NA
Ob53,2010-01-01T00:00:00Z,Ghundikala,Pakistan,North Waziristan,2,3,0,0,0,0,3,4,NA,NA,NA,NA,NA,NA
Ob54,2010-01-03T00:00:00Z,Mosaki,Pakistan,North Waziristan,5,5,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA
Ob55,2010-01-06T00:00:00Z,Sanzali,Pakistan,North Waziristan,5,7,0,6,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob56,2010-01-06T00:00:00Z,Sanzali,Pakistan,North Waziristan,5,9,5,5,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob57,2010-01-08T00:00:00Z,Tappi,Pakistan,North Waziristan,5,6,5,5,1,1,3,3,NA,NA,NA,NA,NA,NA
Ob58,2010-01-09T00:00:00Z,Ismail Khel,Pakistan,North Waziristan,4,5,0,0,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob59,2010-01-09T00:00:00Z,Shaktoi,Pakistan,North Waziristan,15,18,0,0,0,0,7,14,NA,NA,NA,NA,NA,NA
YEM005,2010-01-12T00:00:00Z,Unknown,Yemen,Shabwa,1,2,0,0,0,0,0,0,Possible,FALSE,FALSE,"Yemen ground operation
Possible US assistance",1,1
Ob60,2010-01-15T00:00:00Z,Zanani,Pakistan,North Waziristan,5,10,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob61,2010-01-15T00:00:00Z,Shaktoi,Pakistan,North Waziristan,6,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
YEM006,2010-01-15T00:00:00Z,Al Ajashir,Yemen,Saada,0,6,0,0,0,0,0,0,Possible,TRUE,FALSE,Airstrike,1,1
Ob62,2010-01-17T00:00:00Z,Shaktoi,Pakistan,North Waziristan,14,20,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob63,2010-01-19T00:00:00Z,Deegan,Pakistan,North Waziristan,5,9,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
YEM007,2010-01-20T00:00:00Z,Erq al Shawan,Yemen,Marib,2,2,0,0,0,0,0,0,Possible,TRUE,FALSE,Airstrike,4,4
Ob64,2010-01-29T00:00:00Z,Mohammad Khel,Pakistan,North Waziristan,2,15,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
YEM008,2010-01-31T00:00:00Z,N/A,Yemen,Across Yemen,0,0,0,0,0,0,0,0,Possible,FALSE,FALSE,US ground operations,24,24
Ob65,2010-02-02T00:00:00Z,Toor Narai,Pakistan,North Waziristan,23,24,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob66,2010-02-02T00:00:00Z,Deegan,Pakistan,North Waziristan,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob67,2010-02-02T00:00:00Z,Mohammad Khel,Pakistan,North Waziristan,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob68,2010-02-02T00:00:00Z,Pai Khel,Pakistan,North Waziristan,9,9,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob69,2010-02-14T00:00:00Z,Mir Ali,Pakistan,North Waziristan,5,7,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob70,2010-02-15T00:00:00Z,Tappi,Pakistan,North Waziristan,4,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob71,2010-02-17T00:00:00Z,Tabbi,Pakistan,North Waziristan,4,4,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA
Ob72,2010-02-18T00:00:00Z,Danda Darpakhel,Pakistan,North Waziristan,3,5,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob73,2010-02-24T00:00:00Z,Darga Mandi,Pakistan,North Waziristan,5,13,5,6,1,1,6,6,NA,NA,NA,NA,NA,NA
Ob74,2010-03-08T00:00:00Z,Miram Shah,Pakistan,North Waziristan,9,9,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
Ob75,2010-03-10T00:00:00Z,Mizar Madakhel,Pakistan,North Waziristan,7,8,0,0,0,0,12,12,NA,NA,NA,NA,NA,NA
Ob76,2010-03-10T00:00:00Z,Mizar Madakhel,Pakistan,North Waziristan,7,7,4,7,0,0,0,0,NA,NA,NA,NA,NA,NA
YEM009,2010-03-14T00:00:00Z,"Jeezat al Qotn
Moudia district",Yemen,Abyan,2,3,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Airstrike,1,1
YEM010,2010-03-15T00:00:00Z,Moudia,Yemen,Abyan,7,20,0,20,0,0,0,0,Possible,TRUE,FALSE,Airstrike,1,1
Ob77,2010-03-16T00:00:00Z,Datta Khel,Pakistan,North Waziristan,7,11,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
Ob78,2010-03-17T00:00:00Z,Hamzoni,Pakistan,North Waziristan,3,5,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob79,2010-03-17T00:00:00Z,Mizar Madakhel,Pakistan,North Waziristan,5,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob80,2010-03-21T00:00:00Z,Inzar,Pakistan,North Waziristan,5,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob81,2010-03-23T00:00:00Z,Machis,Pakistan,North Waziristan,6,6,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob82,2010-03-27T00:00:00Z,Hurmuz,Pakistan,North Waziristan,4,4,0,4,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob83,2010-03-31T00:00:00Z,Tappi,Pakistan,North Waziristan,5,6,5,6,1,1,2,2,NA,NA,NA,NA,NA,NA
Ob84,2010-04-12T00:00:00Z,Boya,Pakistan,North Waziristan,13,13,8,13,2,2,2,3,NA,NA,NA,NA,NA,NA
Ob85,2010-04-14T00:00:00Z,Ambar Shaga,Pakistan,North Waziristan,4,5,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA
Ob86,2010-04-16T00:00:00Z,Toorikhel,Pakistan,North Waziristan,3,4,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
Ob87,2010-04-24T00:00:00Z,Machi Khel,Pakistan,North Waziristan,7,9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob88,2010-04-26T00:00:00Z,Khushali,Pakistan,North Waziristan,3,8,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob89,2010-05-03T00:00:00Z,Machi Khel,Pakistan,North Waziristan,4,6,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob90,2010-05-09T00:00:00Z,Datta Khel,Pakistan,North Waziristan,5,10,0,4,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob91,2010-05-11T00:00:00Z,Datta Khel,Pakistan,North Waziristan,8,14,0,4,0,0,12,12,NA,NA,NA,NA,NA,NA
Ob92,2010-05-11T00:00:00Z,Gurwak,Pakistan,North Waziristan,7,15,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob93,2010-05-15T00:00:00Z,Khyber,Pakistan,Khyber Agency,5,15,0,2,0,0,15,15,NA,NA,NA,NA,NA,NA
Ob94,2010-05-21T00:00:00Z,Boya,Pakistan,North Waziristan,11,11,10,10,7,7,7,10,NA,NA,NA,NA,NA,NA
YEM011,2010-05-24T00:00:00Z,Unknown,Yemen,Marib,3,4,3,4,0,0,2,3,Confirmed,TRUE,FALSE,Airstrike,1,1
Ob95,2010-05-28T00:00:00Z,Mizai Nari,Pakistan,South Waziristan,8,12,0,11,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob96,2010-06-10T00:00:00Z,Norak,Pakistan,North Waziristan,2,7,4,4,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob97,2010-06-11T00:00:00Z,Maizer,Pakistan,North Waziristan,10,15,0,0,0,0,10,12,NA,NA,NA,NA,NA,NA
Ob98,2010-06-19T00:00:00Z,Haider Khel,Pakistan,North Waziristan,16,17,0,0,0,0,10,18,NA,NA,NA,NA,NA,NA
Ob99,2010-06-26T00:00:00Z,Khushali,Pakistan,North Waziristan,2,4,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA
Ob100,2010-06-27T00:00:00Z,Tabbi,Pakistan,North Waziristan,5,6,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
Ob101,2010-06-29T00:00:00Z,Kari Kot,Pakistan,South Waziristan,7,10,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA
Ob102,2010-07-15T00:00:00Z,Sheerani,Pakistan,North Waziristan,9,14,0,7,0,0,3,3,NA,NA,NA,NA,NA,NA
Ob103,2010-07-24T00:00:00Z,Dwasarak,Pakistan,South Waziristan,16,18,0,0,0,0,24,24,NA,NA,NA,NA,NA,NA
Ob104,2010-07-25T00:00:00Z,Shaktoi,Pakistan,North Waziristan,14,32,0,0,0,0,7,12,NA,NA,NA,NA,NA,NA
Ob105,2010-07-25T00:00:00Z,Tabbi,Pakistan,North Waziristan,4,12,0,0,0,0,2,4,NA,NA,NA,NA,NA,NA
Ob106,2010-07-25T00:00:00Z,Sararogha,Pakistan,South Waziristan,4,4,0,0,0,0,5,5,NA,NA,NA,NA,NA,NA
Ob107,2010-08-14T00:00:00Z,Issori,Pakistan,North Waziristan,13,14,7,7,1,1,5,6,NA,NA,NA,NA,NA,NA
Ob108,2010-08-21T00:00:00Z,Qutab Khel,Pakistan,North Waziristan,4,6,0,4,0,0,2,2,NA,NA,NA,NA,NA,NA
Ob109,2010-08-23T00:00:00Z,Danda Darpakhel,Pakistan,North Waziristan,20,20,7,9,3,3,15,15,NA,NA,NA,NA,NA,NA
Ob110,2010-08-23T00:00:00Z,Darga Mandi,Pakistan,North Waziristan,5,7,0,0,0,0,3,12,NA,NA,NA,NA,NA,NA
Ob111,2010-08-27T00:00:00Z,Shahidano,Pakistan,Kurram Agency,3,9,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
Ob112,2010-08-27T00:00:00Z,Badshah Kot,Pakistan,Kurram Agency,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob113,2010-08-27T00:00:00Z,Taaloo Ganj,Pakistan,Kurram Agency,2,3,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA
Ob114,2010-09-03T00:00:00Z,Miram Shah,Pakistan,North Waziristan,6,9,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA
