strike_id,date,location,country,area,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured
YEM098,2012-08-07T00:00:00Z,Al Qotn,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,3,0,0,0,0,2,2
YEM099,2012-08-28T00:00:00Z,Qahb al-Hisan,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,2,3,0,0,0,0,0,0
YEM100,2012-08-29T00:00:00Z,Al Qotn,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,5,5,2,2,0,0,0,0
YEM101,2012-08-31T00:00:00Z,Hawda,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,8,8,0,0,0,0,0,0
YEM102,2012-09-02T00:00:00Z,Radaa,Yemen,Bayda,Confirmed,TRUE,FALSE,"US airstrike
Possible drone strike",1,1,12,12,12,12,3,3,4,11
YEM103,2012-09-05T00:00:00Z,Al Ain,Yemen,Shabwa/Hadramout,Confirmed,TRUE,TRUE,Drone strike,1,1,4,6,1,4,0,0,3,3
YEM104,2012-09-10T00:00:00Z,Al Ain,Yemen,Shabwa/Hadramout,Confirmed,TRUE,TRUE,Drone strike,1,2,6,15,0,0,0,0,3,3
YEM105,2012-09-20T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,2,2,4,0,0,0,0,3,3
YEM106,2012-10-04T00:00:00Z,Al Saeed,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,2,3,6,0,0,0,0,2,4
YEM107,2012-10-18T00:00:00Z,Jaar,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,2,3,7,9,0,0,0,0,0,0
YEM108,2012-10-21T00:00:00Z,Maarib,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,0,0,0,0,0
YEM109,2012-10-28T00:00:00Z,Wadi al Abu Jabara,Yemen,Saada,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,0,0,0,1,1
YEM110,2012-11-07T00:00:00Z,Beit al Ahan,Yemen,Sanaa,Confirmed,TRUE,TRUE,Drone strike,1,1,2,2,0,0,0,0,2,3
YEM111,2012-12-24T00:00:00Z,Manaseh,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,3,0,0,0,0,3,3
YEM112,2012-12-24T00:00:00Z,Shehr,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,3,3,7,0,0,0,0,1,1
YEM113,2012-12-28T00:00:00Z,Shehr,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,2,2,3,0,0,0,0,0,1
YEM114,2012-12-29T00:00:00Z,Manaseh,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,4,0,0,0,0,0,2
YEM115,2013-01-01T00:00:00Z,Unknown,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,1,0,0,0,0,0,0
YEM116,2013-01-04T00:00:00Z,Radaa,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,3,3,0,0,0,0,0,0
YEM117,2013-01-19T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,0,0,0,0,0,0,0,0
YEM118,2013-01-19T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,2,4,0,3,0,0,0,0
YEM119,2013-01-19T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,4,6,0,4,0,0,0,0
YEM120,2013-01-20T00:00:00Z,Al Kanais,Yemen,Marib,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM121,2013-01-21T00:00:00Z,Nakhla,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,2,4,0,0,0,0,2,2
YEM122,2013-01-22T00:00:00Z,Al Boka,Yemen,Jawf,Confirmed,TRUE,TRUE,Drone strike,1,1,3,5,0,0,0,0,0,0
YEM123,2013-01-23T00:00:00Z,Khawlan,Yemen,Sanaa,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,2,2,0,0,0,0
YEM124,2013-01-23T00:00:00Z,Qayfa,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,5,0,0,0,0,0,0
YEM125,2013-04-17T00:00:00Z,Wassab al Ali,Yemen,Damar,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,4,0,0,0,0
YEM126,2013-04-21T00:00:00Z,Wadi Abida,Yemen,Marib,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,2,0,0,0,0,2,3
YEM127,2013-05-18T00:00:00Z,Mahfed,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,4,9,0,0,0,0,0,0
YEM128,2013-05-20T00:00:00Z,Radaa,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,2,0,0,0,0,0,0
YEM129,2013-06-01T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,2,7,8,0,0,0,0,2,3
YEM130,2013-06-09T00:00:00Z,"Al Makashma/
Khab al Shath",Yemen,Jawf,Confirmed,TRUE,TRUE,Drone strike,1,1,2,7,1,1,1,1,0,0
YEM131,2013-07-27T00:00:00Z,Mahfed,Yemen,Abyan,Confirmed,TRUE,TRUE,Drone strike,1,1,4,9,0,0,0,0,0,0
YEM132,2013-07-30T00:00:00Z,Al Saeed,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,3,4,0,0,0,0,0,0
YEM133,2013-08-01T00:00:00Z,Wadi Ser,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,3,5,4,5,1,1,3,3
YEM134,2013-08-06T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,0,0,0,0,0
YEM135,2013-08-07T00:00:00Z,Markha,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,6,8,0,0,0,0,0,0
YEM136,2013-08-08T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,3,8,2,2,2,2,0,0
YEM137,2013-08-08T00:00:00Z,Al Ayoun,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,2,7,0,0,0,0,0,0
YEM138,2013-08-08T00:00:00Z,Al Qotn,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,3,5,0,0,0,0,0,0
YEM139,2013-08-10T00:00:00Z,Al Askariya,Yemen,Lahj,Confirmed,TRUE,TRUE,Drone strike,1,1,2,5,0,0,0,0,2,5
YEM140,2013-08-30T00:00:00Z,Manaseh,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,4,6,0,0,0,0,0,0
YEM141,2013-11-19T00:00:00Z,Ghayl Bawazir,Yemen,Hadhramout,Confirmed,TRUE,TRUE,"US airstrike
Possible drone strike",1,1,5,5,0,0,0,0,0,0
YEM142,2013-11-26T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,12,12,0,0,0,0,0,0
YEM143,2013-12-09T00:00:00Z,Al Qotn,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM144,2013-12-12T00:00:00Z,Radaa,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,12,17,8,16,0,0,5,30
YEM145,2013-12-27T00:00:00Z,Shibam,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,6,0,0,0,0,0,0
YEM146,2013-12-31T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,6,0,0,0,0,0,3
YEM147,2014-01-06T00:00:00Z,Radaa,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,0,0,0,0,0,0,0,2
YEM148,2014-01-08T00:00:00Z,Al Qotn,Yemen,Hadhramout,Confirmed,TRUE,TRUE,Drone strike,1,1,2,2,0,0,0,0,0,2
YEM149,2014-01-15T00:00:00Z,Shibam,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,1,1,1,0,0,0,0
YEM150,2014-01-24T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,3,4,0,0,0,0,0,0
YEM151,2014-02-03T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,0,4,0,0,0,0,0,2
YEM152,2014-03-02T00:00:00Z,Shabwan,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,2,3,0,0,0,0,2,2
YEM153,2014-03-03T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,1,0,0,0,0,0,0
YEM154,2014-03-03T00:00:00Z,Radhum,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,4,0,0,0,0,2,2
YEM155,2014-03-05T00:00:00Z,Khalek,Yemen,Jawf,Confirmed,TRUE,TRUE,Drone strike,1,1,2,4,0,0,0,0,0,0
YEM156,2014-03-10T00:00:00Z,Wadi Abida,Yemen,Marib,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,1,4,0,1,0,1,0,0
YEM157,2014-03-12T00:00:00Z,Khab Wal Saaf,Yemen,Jawf,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,3,0,0,0,0,0,0
YEM158,2014-04-01T00:00:00Z,Mahfed,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,4,4
YEM159,2014-04-19T00:00:00Z,Sawmaa,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,1,1,13,21,3,8,0,0,1,6
YEM160,2014-04-20T00:00:00Z,Mahfed,Yemen,Abyan,Confirmed,TRUE,TRUE,"Drone strike
Yemen Air Force airstrike",1,3,24,31,1,1,1,1,1,3
YEM161,2014-04-21T00:00:00Z,Usylan,Yemen,Shabwa,Confirmed,FALSE,FALSE,"US-Yemen ground operation
Possible drone strike",1,1,3,4,1,1,1,1,0,0
YEM162,2014-05-12T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,4,6,0,0,0,0,0,0
YEM163,2014-06-04T00:00:00Z,Wadi Abida,Yemen,Marib,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,4,0,0,0,0,0,0
YEM164,2014-06-13T00:00:00Z,Mafraq al Saeed,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,5,6,0,0,0,0,0,0
YEM165,2014-06-21T00:00:00Z,Unknown,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,0,0,0,0,0,0,0,0
YEM166,2014-08-09T00:00:00Z,Wadi Abida,Yemen,Marib,Confirmed,TRUE,TRUE,Drone strike,1,1,3,3,0,0,0,0,2,2
YEM167,2014-08-16T00:00:00Z,Unknown,Yemen,Hadhramout,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,3,0,0,0,0,0,0
YEM168,2014-09-11T00:00:00Z,Unknown,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,4,5,0,0,0,0,0,0
YEM169,2014-09-25T00:00:00Z,"Nasab
Near Ataq",Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,4,5,0,0,0,0,0,0
YEM170,2014-09-26T00:00:00Z,Khasaf,Yemen,Jawf,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,3,0,0,0,0,3,3
YEM171,2014-10-15T00:00:00Z,"Bani Assaf
Mayfaa",Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,4,4,0,0,0,0,0,0
YEM172,2014-10-24T00:00:00Z,Radaa,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,10,0,10,0,0,0,0
YEM173,2014-10-26T00:00:00Z,Radaa,Yemen,Bayda,Possible,TRUE,TRUE,"Airstrike
Possible drone strike
Yemeni air and ground operations",1,1,12,20,2,10,0,0,0,0
YEM174,2014-11-04T00:00:00Z,Radaa,Yemen,Bayda,Confirmed,TRUE,TRUE,Drone strike,3,3,9,20,0,0,0,0,0,0
YEM175,2014-11-12T00:00:00Z,Azzan,Yemen,Shabwa,Confirmed,TRUE,TRUE,Drone strike,1,1,6,8,0,0,0,0,0,0
YEM176,2014-11-26T00:00:00Z,Hagr al Saiaar,Yemen,Hadhramout,Confirmed,FALSE,FALSE,US-Yemen ground operation,1,1,7,7,0,0,0,0,0,0
YEM177,2014-12-06T00:00:00Z,Nasab,Yemen,Shabwa,Confirmed,TRUE,TRUE,US drone strike,1,1,9,10,0,0,0,0,3,3
YEM178,2014-12-06T00:00:00Z,Dafaar,Yemen,Shabwa,Confirmed,FALSE,FALSE,"US ground operation
Possible US air and drone strike",1,1,11,11,8,8,1,1,0,0
YEM179,2015-01-26T00:00:00Z,Hareeb,Yemen,Shabwa/Mareb border,Confirmed,TRUE,TRUE,US drone strike,1,1,3,3,1,2,1,1,0,0
YEM180,2015-01-31T00:00:00Z,Al Saeed,Yemen,Shabwa,Confirmed,TRUE,TRUE,US drone strike,1,1,4,4,0,0,0,0,0,0
YEM181,2015-02-02T00:00:00Z,Unknown,Yemen,Bayda,Confirmed,TRUE,TRUE,US drone strike,1,1,3,6,0,0,0,0,0,0
YEM182,2015-02-20T00:00:00Z,Al Houta,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,3,0,0,0,0,0,0
YEM183,2015-02-28T00:00:00Z,Bihan region,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,3,4,0,0,0,0,0,0
YEM184,2015-03-01T00:00:00Z,Markha district,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible drone strike",1,1,2,3,0,0,0,0,3,3
YEM185,2015-04-12T00:00:00Z,Mukalla,Yemen,Hadhramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,7,0,0,0,0,0,0
YEM186,2015-04-17T00:00:00Z,Habban,Yemen,Shabwa,Confirmed,TRUE,TRUE,"US drone strike
",1,1,2,2,0,0,0,0,0,0
YEM187,2015-04-19T00:00:00Z,Saeed district,Yemen,Shabwa,Confirmed,TRUE,TRUE,"US drone strike
",1,1,2,6,0,0,0,0,0,0
YEM188,2015-04-21T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,2,5,7,0,1,0,1,0,0
YEM189,2015-05-08T00:00:00Z,Mafraq,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible US drone strike",1,1,3,3,0,0,0,0,0,0
YEM190,2015-05-10T00:00:00Z,Ataq,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible US drone strike",1,1,1,4,0,0,0,0,0,0
YEM191,2015-05-11T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,4,0,0,0,0,2,2
YEM192,2015-05-16T00:00:00Z,Unknown,Yemen,Shabwa,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,3,0,0,0,0,0,0
YEM193,2015-05-22T00:00:00Z,Unknown,Yemen,Shabwa,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,5,0,0,0,0,0,0
YEM194,2015-06-02T00:00:00Z,Unknown,Yemen,Jawf,Possible,TRUE,TRUE,"Airstrike
Possible US drone strike",1,1,5,20,0,0,0,0,0,0
YEM195,2015-06-09T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,3,0,0,0,0,2,2
YEM196,2015-06-25T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,5,0,0,0,0,2,2
YEM197,2015-06-26T00:00:00Z,Rafadh,Yemen,Shabwa,Possible,TRUE,TRUE,"Airstrike
Possible US drone strike",1,1,4,4,0,0,0,0,0,0
YEM198,2015-06-26T00:00:00Z,Mukalla,Yemen,Hadramout,Possible,TRUE,TRUE,"Airstrike
Possible US drone strike",1,1,4,4,0,0,0,0,0,0
YEM199,2015-07-03T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,4,0,0,0,0,0,0
YEM200,2015-07-11T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,10,0,0,0,0,0,0
YEM201,2015-07-29T00:00:00Z,Wadi Dikha,Yemen,Abyan,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,5,0,0,0,0,0,0
YEM202,2015-08-12T00:00:00Z,Mukalla-Rukob road,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,5,5,0,0,0,0,0,0
YEM203,2015-08-21T00:00:00Z,Harib,Yemen,Marib,Possible,TRUE,TRUE,"Airstrike, Possible US drone strike",1,1,3,3,0,0,0,0,0,0
YEM204,2015-08-23T00:00:00Z,Mukalla,Yemen,Hadaramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,4,0,0,0,0,0,0
YEM205,2015-08-26T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,5,5,0,0,0,0,0,0
YEM206,2015-09-09T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,6,0,4,0,0,2,2
YEM207,2015-09-11T00:00:00Z,Unknown,Yemen,Jawf-Mareb border,Possible,TRUE,TRUE,"Airstrike, Possible US drone strike",1,1,4,4,0,0,0,0,0,0
YEM208,2015-09-12T00:00:00Z,Mukalla,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,5,0,0,0,0,0,0
YEM209,2015-09-21T00:00:00Z,Marib city,Yemen,Marib,Possible,TRUE,TRUE,"Airstrike, Possible US drone strike",1,1,2,2,0,0,0,0,0,0
YEM210,2015-12-22T00:00:00Z,Nata district,Yemen,Bayda-Shabwa border,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,4,0,0,0,0,0,0
YEM211,2016-01-15T00:00:00Z,Rafadh,Yemen,Shabwa,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,3,0,0,0,0,0,0
YEM212,2016-01-19T00:00:00Z,Sayoun,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone strike
",1,1,2,2,0,0,0,0,0,0
YEM213,2016-02-03T00:00:00Z,Rawda city,Yemen,Shabwa,Confirmed,TRUE,TRUE,"US drone strike
",1,1,6,6,0,0,0,0,0,0
YEM214,2016-02-03T00:00:00Z,Maraquesha,Yemen,Abyan,Confirmed,TRUE,TRUE,"US drone strike
",1,1,3,3,0,0,0,0,0,0
YEM215,2016-02-15T00:00:00Z,Huta,Yemen,Lahij,Possible,TRUE,TRUE,"Airstrike, Possible US drone strike",1,1,3,3,0,0,0,0,0,0
YEM216,2016-02-29T00:00:00Z,Unknown,Yemen,Hadramout,Confirmed,TRUE,TRUE,"US drone or air strike
",1,1,3,3,0,0,0,0,0,0
YEM217,2016-03-04T00:00:00Z,Radhum,Yemen,Shabwa,Confirmed,TRUE,TRUE,"US drone strike
",1,1,4,4,0,0,0,0,0,0
YEM218,2016-03-22T00:00:00Z,Hajr (75km W of Mukalla),Yemen,Hadramout,Confirmed,TRUE,FALSE,US air strike,1,1,50,71,0,0,0,0,28,30
YEM219,2016-03-26T00:00:00Z,Al Hudhn and Naqeel al Hayala villages,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike, Possible US drone strike",2,2,8,8,0,0,0,0,0,0
YEM220,2016-03-26T00:00:00Z,Zinjibar,Yemen,Abyan,Possible,TRUE,TRUE,"Airstrike, Possible US drone strike",1,1,6,6,0,0,0,0,0,0
YEM221,2016-03-28T00:00:00Z,Mukalla,Yemen,Hadramout,Possible,TRUE,FALSE,Airstrike,1,1,5,5,3,3,0,0,0,0
YEM222,2016-03-30T00:00:00Z,Azzan,Yemen,Shabwa,Confirmed,TRUE,TRUE,US drone strike,1,1,2,5,0,0,0,0,0,0
YEM223,2016-03-30T00:00:00Z,Mukalla,Yemen,Hadramout,Possible,TRUE,FALSE,Airstrike,3,3,0,0,0,0,0,0,0,0
YEM224,2016-04-03T00:00:00Z,Mukalla,Yemen,Hadramout,Possible,TRUE,TRUE,"Airstrike, Possible US drone strike",4,5,0,0,0,0,0,0,0,0
YEM225,2016-04-05T00:00:00Z,Zinjibar,Yemen,Abyan,Possible,TRUE,FALSE,Airstrike,2,2,0,0,0,0,0,0,0,0
YEM226,2016-04-23T00:00:00Z,Alemien,Yemen,Mareb,Confirmed,TRUE,TRUE,US drone strike,1,1,2,2,0,0,0,0,0,0
